,user_name,user_type,user_msg,user_msg_count,forum_type
10,Blue Monday,Well-known member,"An update: I've settled on a daily routine of a morning dose of 25mg of CBD/1mg THC oil and then the same in the evening. Occasionally I've also taken a single 50mg CBD/2mg THC gummy at night before bed and I think that does help me sleep. When I take the oil/gummy night combo I'm getting 75mg CBD and 3mg THC. I know everyone is different in relation to their sensitivity to THC, but the 3mg THC isn't psychoactive in any way for me.

I have not gone past a max of 3mg THC in a dose in part because if I were to do so with any regularity, the cost would be frustratingly expensive. Things like this shouldn't be as expensive as they are.

At this point my long term goal if my state relaxes usage further and includes recreational use (not the case at this point) is to arrive at a dosage of CBD/THC which is very mildly psychoactive. In effect, micro-dosing THC to help with my PTSD, ADHD, Autism and anxiety. That's not the case for me at this point.",266,ADHD_Forum
11,The Emcee,Well-known member,23 almost 24 and just got diagnosed with ADHD during my recent hospital visit. It has been suspected and looked into but now I have the official diagnosis which is honestly awesome. Because now I can label why I’m “weird” and it makes me feel less self conscious. Like I knew I was neurodivergent. I have sensory processing issues. But I didn’t know until now with complete certainty what it was. And having an answer is so liberating. (Also being on Adderall was a major contributor to helping me get out of the hospital).,216,ADHD_Forum
12,Aurelius,Well-known member,Hope life will now be and feel good to you!!,"1,652",ADHD_Forum
13,SFGuy,Well-known member,"@The Emcee

Are things better now that you're on the right medicine?",554,ADHD_Forum
14,scratchnerd,Member,Good luck. And I hope you get comfort from the fact that your not alone,18,ADHD_Forum
15,shadows1197,Well-known member,@The Emcee so happy for you ! Glad you made that step 💕,765,ADHD_Forum
16,Blue Monday,Well-known member,"I'm diagnosed with ADHD Inattentive Type and I'm over 50. I'm also diagnosed with Aspergers, but between the two, I consider my ADHD to be an actual disability in that it presents daily challenges to me FAR more than my Aspergers does.
I do not take any meds for my ADHD. Small amounts of caffeine helps to a degree.

One of my biggest challenges is reading books. I would love to read more books, but I usually buy a book or get one on loan from the library and I sit down and try to read it and it ends up being like unproductive work. The book then just sits unread.

Here's what my experience is like reading a book: I sit down and try to eliminate distractions. I've even put on passive noise cancelling headphones. I make a point to not have my phone, etc within reach. Then...I start to read. The first time reading a paragraph is me just getting familiar with the words, but I'm not really retaining the information. I have to re-read sentences (because my mind starts to wander) multiple times. By that time I end up having to re-read the entire paragraph more...than...once. Finally I tell myself: ""OK! Come on now! FOCUS! This isn't that hard. Really pay attention! You can do this!"" Every single page is like that. Even after I focus if I slog through a chapter for example, the next day my recollection of what I read is fuzzy at best. Bottom line is that my brain during book reading is like a hyperactive toddler who is told to sit in a chair for a period of time and absolutely doesn't do it and instead keeps leaving the chair every minute to walk around.

People with ADHD: How do you do it? What tricks or tips do you have to assist in reading books effectively?",266,ADHD_Forum
17,Liam2,Well-known member,Reading short books is a way to go. You get the satisfaction of a completed read.,88,ADHD_Forum
18,pineappleprincess17,Member,"Honest answer, not the one you think you’re supposed to give",5,ADHD_Forum
19,CodylikesPizza,Active member,Following through on tasks. I get distracted or rerouted so easily.,31,ADHD_Forum
20,scratchnerd,Member,Paying attention in conversations. My mind and eyes wander I can't help it. I can't take a full conversation in the memory. Can't recal conversations if asked to repeat them,18,ADHD_Forum
21,A11onsg1,Member,"For me, it is a negative personal motivation. To be more specific, it is very difficult for me to start something, ""starting"" is very difficult for me, more than anything else.",5,ADHD_Forum
22,scratchnerd,Member,I agree. I'm the same regarding starting something 👍,18,ADHD_Forum
23,scratchnerd,Member,Hello. Who has started on ADHD meds. And the docs got the dose and meds type correct first time round please,18,ADHD_Forum
24,Aurelius,Well-known member,"Welcome to the forum scratchnerd. I hope you will find this a supportive and welcoming place to visit.

Normally takes a short while to step up dosage and find the optimum level of help vs side-effects and whether the medication is addressing the specific ADHD symptoms that are causing us most distress and/or we would most like addressed. Some doctors have seemed to be more attuned early on in my periods of treatment than others.","1,652",ADHD_Forum
25,scratchnerd,Member,Thank you 👍,18,ADHD_Forum
26,scratchnerd,Member,"For the record. I've had undiagnosed ADHD. Depression. Anxiety for over 40 years. I've have ADHD assesment next week finally.
Always knew there was something not right. Since my childhood. I'm 50 now. Seem loads of shrinks. Docs. Nurses. Nobody picked up on it till a few months ago. I got that desperate to cure myself if this unknown illness. I went to see real shamens. I did 3 ceramonies of kambo, the frog medicine. Trust me this is brutal therapy of the worst kind. And I didn't do nothing. All it did is purge me of something. Maybe a backlog of meds that's it. So my advice to anyone thinking of it. It didn't fix me. Left me with around 21 perminant scars on my back. Neck and my arm.",18,ADHD_Forum
27,scratchnerd,Member,Out of everything I've tried for ADHD. For me Kratom. Has been the best comfort for me. But I will stop having it. When i get diagnosed. And get proper medication.,18,ADHD_Forum
28,Aol,New member,"I hope someone can relate to my situation. I had anxiety as a child but it went away. I have all my youth been exitement seeking and in my head alot. After my first kid i started waking up with panic attacks, i was sleeping so no thought triggering it. As time has passed it has gotten worse and worse. I cant fly anymore, i cant take a boat, i cant do anything, where i dont have the option to stop it og leave if i want, if i am forced to remain in one place. I feel like i have chronic stress. I am creative spot when the world is too much. I’m either all inn social or i am all in a loner. I cant keep a plan, if my life depended on it. Im impulsive and if i get an creative idea, i have to buy everything and do it right now. I cant have a job and love it for a long time. I have to get brakes from it. I love it in the beginning but as soon as it becomes every day, i hate it. I do extremly well in school and speeking infront of people, i have insane memory bit only the things i’m interested in. I procrastinate until the night before, then i go into some hyperfocus where i just speed through and memorize an insane amount og meterial to the next day. But then comes the burn out, cause im always 100 or 0, never inbetween. I am so tired of being on a rollercoaster and never really get everything under control. My therapist doesn’t know what to do with me because i have acompliched too much and am doing too well, also eith the people around me to have adhd. All i know is that my brain wont ever shut up. Is there anyone who can relate to anything i am saying?",1,ADHD_Forum
29,CodylikesPizza,Active member,"My experience feels very similar to yours. Your post clearly suggests an anxiety disorder, and yes ADHD may be likely. Also maybe a touch of OCD? Perhaps bring some of this up with your clinician?

Good luck friend.",31,ADHD_Forum
30,pineappleprincess17,Member,"First, that’s definitely ADHD. Even with the anxiety and panic attacks. It’s really common to have comorbidities (probably spelled that wrong) such as an anxiety disorder.

Second, I completely relate to every single thing you said, so you’re not alone.",5,ADHD_Forum
31,hamilton5,New member,"this is exactly how i feel, anyone know a way around getting a diagnosis?",1,ADHD_Forum
32,SFGuy,Well-known member,"@Aol
""i have acompliched too much and am doing too well""

My last therapist didn't get that. I'm accomplished and do pretty well for myself. But without meds, I feel terrible inside.

I now have multiple diagnoses.-- ADHD, Social Anxiety, Bipolar 2 -- and I only accept them because the meds for each help me.

A good psychiatrist helped me through trial and error tests with meds. I've had ups and downs, but I'm doing OK today.

I started seeing a new therapist in the fall, too. He's helping in a different way.",554,ADHD_Forum
33,Tawny,Well-known member,I have bipolar and ADHD too. Nothing touches the restlessness though. Is yours better?,"20,249",ADHD_Forum
34,SFGuy,Well-known member,"@Tawny

Hey Tawny, it's great to be back here and hear from you.

Depakote + Ritalin seems like the magic combination for me. I just started Ritalin last June. Had been on Dex, but couldn't raise the dose high enough because of jitters. I take 50mg of Ritalin/day without problems. I'm more organized and focused.

I had a rough patch last summer when Depakote got too high. I was delirious for most of June with sleepwalking, falling asleep while doing ordinary stuff, and angry liver and kidneys. I didn't fully recover until September.

I still take Depakote, but at less than 1/3 the dose that made me sick.

Could your restlessness be akathisia from antipsychotics? I don't take them.",554,ADHD_Forum
35,scratchnerd,Member,Your definitely around like-minded people here 👊,18,ADHD_Forum
36,scratchnerd,Member,Respek for opening up. This place is so good. As one can finally read and relate to others who struggle to work out this most puzzling of conditions. I think I've had ADHD for over 40 years. Only just been told it's likely I have it. I tried a ton of products. Bud. Kratom. Various types and doses of Anti depresents. Then I went extreme. was I went to see shamens as I was desperate to be normal. So I had 3 ceremonies of kambo. The frog medicine. I advice people not to try it. It didn't do anything for my condition anyway. Left me with a lot of scars. Good luck,18,ADHD_Forum
37,stargaze9000,Member,"Hello, I'm bored and currently being evaluated but every day is pretty much the same
I've been struggling with finding a job. Anyone else?",9,ADHD_Forum
38,PinkApple22,Active member,"Hi everyone

I was referred by my GP for an ADHD assessment after having severe anxiety, emotional and focus/concentration problems for my whole life and no treatments/approaches working as of yet. In order ti get a diagnosis someone close to me needs to fill in a form describing some of my symptoms and how they think I experience them/perceive me to act/struggle. I asked my mum as she’s my absolute best friend, but she said to be (and has before) that she doesn’t really believe in a diagnosis, and has never really perceived me to ‘have something wrong’ however she identifies and agrees with me that i get overwhelmed easily, always comments on my hyperactivity and my focus/concentration, as well as my general racing thoughts. She even identified with some symptoms of adhd herself, but I don’t feel like she really cares as much as I do about learning and identifying symptoms and I’m not sure she’s the right person. I have a counsellor who I could ask next month who’s been with me for University for 3 years, and might be able to fill in the form, but it makes me a bit sad as I feel she doesn’t really acknowledge how much I am struggling, and I do identify with a diagnosis and it would make me feel a lote more knowledgeable about how to help myself and what’s been causing me so many problems. Also, if it isn’t ADHD then i could get referred for a different sssessment and rule that out, but I feel as though there’s something that I need help with, and not sure what to do.",26,ADHD_Forum
39,peterhans,Well-known member,"PinkApple22 said:
I asked my mum as she’s my absolute best friend, but she said to be (and has before) that she doesn’t really believe in a diagnosis, and has never really perceived me to ‘have something wrong’…
What treatment do you expect? Is your mother concerned they will give you drugs as a solution? Is that her main concern?","1,504",ADHD_Forum
40,PinkApple22,Active member,"@peterhans She hasn’t said anything about this, I’m on medication at the moment for chronic illness anyway, she just seems to suggest it’s pointless to get a diagnosis",26,ADHD_Forum
41,peterhans,Well-known member,"@PinkApple22 well I would have that conversation with her. Maybe she does not believe in a diagnosis because of the epidemic of over-diagnosis taking place in a number of countries.

Overdiagnosis of mental disorders in children and adolescents (in developed countries) - Child and Adolescent Psychiatry and Mental Health
During the past 50 years, health insurance providers and national registers of mental health regularly report significant increases in the number of mental disorder diagnoses in children and adolescents. However, epidemiological studies show mixed effects of time trends of prevalence of mental...
capmh.biomedcentral.com

As your best friend and your mother, she is not trying to hurt you. She knows you. You are already on medication and she is probably concerned about the rabbit hole of more and more medication that messes with brain chemistry.

I‘m not saying not to seek a diagnosis. I’m only suggesting that circumventing your best friend is probably not the best path. Even if she sees it as pointless, you can ask her to explain why she thinks it is pointless. What is her fear?","1,504",ADHD_Forum
42,QueenFan,Well-known member,"PinkApple22 said:
I have a counsellor who I could ask next month who’s been with me for University for 3 years, and might be able to fill in the form, but it makes me a bit sad as I feel she doesn’t really acknowledge how much I am struggling,
That's 2 separate issues. Your mother is too close to the situation to help with your evaluation, don't take it as anything more than she can't deal with the topic. Ask the counsellor to help with the evaluation. Good luck!","3,279",ADHD_Forum
43,PinkApple22,Active member,"Thank you both for your help, I feel a bit clearer now on what to do. I will talk to my counsellor in the next few weeks and just try to understand where my mum is coming from, thanks again. 💛",26,ADHD_Forum
44,scratchnerd,Member,@PinkApple22 well done for speaking out. I'm in similar boat. But the one that seems against me is my wife of 20 years. She thinks I'm just ignorant. Thick.stupid. Dense. Selfish. Don't listen.dont py attention is the classic one. She doesn't believe I have add. I have assesment next week. I'm so prepared. Good tip. Create note. Keep adding to it when you think of something else worth adding to say to your doctor etc. My note list is huge. If I aint got ADHD. No clue what it is. Your not on you own. Hope your mum researches what's wrong with you. Write your notes. When you've got enuf info. Have a chat. Compare the facts say off NHS site with your notes.,18,ADHD_Forum
45,scratchnerd,Member,PS I'm 50 years old. I've had this for way tooooo long.,18,ADHD_Forum
46,Egg87,Member,"Hi,

I'm interested in seeking a private ADHD diagnosis in the UK. Has anyone had any experience with private organisations?

I'm wanting an assessment and then hopefully to be prescribed medication to help level me out. Ideally for this to be prescribed by my GP at NHS prescription costs!

Any advice or help on this would be greatly appreciated.",8,ADHD_Forum
47,scratchnerd,Member,I had negative experience with adhd360. Long story. But psychiatry UK have been great upto now. I finally have an assesment booked next week. Via NHS not private,18,ADHD_Forum
48,scratchnerd,Member,Hello. I'm a 50 year old male. Ive Been trying to find out what's wrong with me for a good 36 years. I've tried most SSRis kratom. Kambo. Magic mushrooms. Cannabis. Tons of so called miracle cures of the web. Non worked as I never knew what it was I was trying to beat. Recently got told I my have add inattentive type. I was gobsmacked. That's one thing I didn't think it was. An expert CBT therapist told me. I was like wow. It makes so much sense. I have fought tooth and nail for an assessment. I finally got one next week. I'm so prepared. Spent a week building up notes so I don't forget anything. I no my brain will freeze on the day. My notes will rescue me. Already told the doctor I will be using my notes. They accepted. Good luck to anyone who is fighting for an assessment. The nhs put walls up but my hyperfocus actually helped me push over it. Ive not opened up properly yet. I will be doing soon. My advise it start building notes and prepare for your assessment. You get 50 minutes. So make every second count,18,ADHD_Forum
49,scratchnerd,Member,Hello. Been trying to find out what's wrong with me for a good 40 years. I've tried most SSRis kratom. Kambo. Magic mushrooms. Cannabis. Tons of so called miracle cures of the web. Non worked as I never knew what it was I was trying to beat. Recently got told I my have add. I was gobsmacked. That's one thing I didn't think it was. An expert CBT therapist told me. I was like wow. It makes so much sense. I have fought tooth and nail for an assessment. I finally got one next week. I'm so prepared. Spent a week building up notes so I don't forget anything. I no my brain will freeze on the day. My notes will rescue me. Already told the doctor I will be using my notes. They accepted. Good luck to anyone who is fighting for an assessment. The nhs put walls up but my hyperfocus actually helped me push over it. Ive not opened up properly yet. I will be doing soon. My advise it start building notes and prepare for your assessment. You get 50 minutes. So make every second count,18,ADHD_Forum
50,Mr.NiceGuy,Well-known member,"I'm not one of the people who has done adderall everyday. I've done amphetamines maybe 15-20 times in my life. What I was wondering from the people wh've had and adderall prescription or are on one now, have you ever heard of the tailbone wagging? If not, read the thread and next time you're on adderall report back any findings of a difference in the way the drug works. The tailbone is an active part of your nervous system and adderall a nervous system stimulant. Watch for the tailbone while your not on the drug as well.","1,006",ADHD_Forum
51,EmilySloth,Member,"Omg i am ruining my relationships and frirndships with this


Idk if its my adhd or bpd but if my boyfriend does anything without me i feel sick

And also i take every comment that sounds remotely negative really wrong and block friends",11,ADHD_Forum
52,Sossmile,Well-known member,Emily I’m sending you a hug 🤗 it’s so good that you have insight into your thoughts and feelings and behaviour. That is the key to trying to change things a bit so that you can enjoy your life more. Maybe unblock your friends and reach out and explain how you feel - the true friends will understand and support you.,144,ADHD_Forum
53,stevie_sloth,Well-known member,"I have BPD and would be hyper sensitive to any perceived or potential rejection, disrespect, invalidation, neglect or abandonment, but ONLY to my Favourite Person(s). With everyone else, I was easy going.

But yeah...it is a sickeningly stressful rollercoaster of emotions based on fear.","6,594",ADHD_Forum
54,Freespirit777,formerly Linda1989,I have a doctors appointment coming up next week I hope my doctor puts me on it because I need it bad. I have a feeling they wont and probably need to get a new doctor. Yesterday I went to walmart to get groceries when I use the self check out and put it in the bag I forgot to pay. I was actually in the car leaving with my brother when I check my app and seen I didnt pay for the stuff I was so scared that I was almost in tears. Stuff like I keep leaving the stove on or forget im cooking. My concentration is horrible. My old psychtrist took me off because he said it causes psychosis which I think he lying. I think human service center is doing me harm than good. If they can put me on 20 medication they would for money in their pockets. They dont give damn about anyone,793,ADHD_Forum
55,Orangeade,Well-known member,@Freespirit777 hope by commenting people can suggest a medication for you,"2,832",ADHD_Forum
56,Freespirit777,formerly Linda1989,@Orangeade thanks.,793,ADHD_Forum
57,SFGuy,Well-known member,"@Freespirit777

I hope your doctors appointment went well. Were you able to resume your ADHD med?",554,ADHD_Forum
58,Freespirit777,formerly Linda1989,@SFGuy I miss my appointment because I over slept.,793,ADHD_Forum
59,SFGuy,Well-known member,"@Freespirit777

Do you have another appointment? Set your alarm on some loud horrible noise to get you up 🤣.

You asked a question in the title of this thread that I missed: Which med is best?

That's easy: the one that works for you. Dexedrine and Adderal make me jumpy, but Ritalin hits the spot. Guanfacine and Lyrica help my anxiety and my bipolar meds help calm me down. Extended release stimulants poop out on me, so I take Ritalin immediate release 3 times a day.

That combination is probably wrong for you. Getting mine right took a lot of trial and error testing. I need adjustments at least once a year, usually more often.",554,ADHD_Forum
60,Misssad1111,Well-known member,by the end of my shift im lacking concentration. im on Adderall 15 mg twice a day. wanting to go to adderall 30mg twice a day,"5,746",ADHD_Forum
61,Zackthemaniac,Well-known member,Tell him the issue and ask ?,"1,725",ADHD_Forum
62,Nouress,Well-known member,"Place them on a headlock until they start to panic and force them to write the updated prescription.

Or alternatively as stated above, just ask. But that seems like a less exciting way to go about it.",150,ADHD_Forum
63,Misssad1111,Well-known member,I hope they say yeah. Is there anything that will convince them. I’m having trouble concentrating at work and my work requires a lot of concentration,"5,746",ADHD_Forum
64,Misssad1111,Well-known member,I want to double my dose. I’m probably stressing over nothing. She is chill,"5,746",ADHD_Forum
65,Zackthemaniac,Well-known member,"Missad their is no reason to try to manipulate the situation, if you explain your problem, I don't see any reason why they wouldn't try upping your dose.","1,725",ADHD_Forum
66,shadows1197,Well-known member,"Nouress said:
Place them on a headlock until they start to panic and force them to write the updated prescription.

Or alternatively as stated above, just ask. But that seems like a less exciting way to go about it.
Love this, or alternatively say to them “I want to play a game“ and place them in a Saw Jigsaw trap until the meds are given",765,ADHD_Forum
67,Syndicki,New member,"Hi there - I take Vyvance 70mg have have done so for about 5 years. I also take Wellbutrin 450 mg extended release.

I tend to have a lull in the afternoon and I need to take a nap. I cant really do any work at my computer after 1-2 pm. I am interested in hearing about any afternoon boosters people have taken. Vyvance is a stimulant and I dont really want to take a second stimulant if I can avoid it.

Thanks",1,ADHD_Forum
